1,PIB,2024-06-12,The Government of India approved a 12 percent increase in Minimum Support Price for Kharif crops for 2024-25.
2,PIB,2024-07-03,The Ministry of Power launched the PM Surya Ghar Muft Bijli Yojana aimed at providing free electricity up to 300 units for households with rooftop solar installations.
3,PIB,2024-04-18,The Indian Cabinet approved the expansion of PM Kisan scheme benefits to include tenant farmers subject to state verification.
4,PIB,2023-12-05,The Ministry of Agriculture released guidelines for climate-resilient crop varieties aimed at improving yield stability.
5,PIB,2024-01-11,The government announced an incentive program for rural cold storage infrastructure under the Agriculture Infra Fund.
6,PIB,2024-02-19,India signed an MoU with Nepal to strengthen cross-border energy trade including hydropower projects.
7,PIB,2023-11-09,The Ministry of Electronics launched the IndiaAI Mission focusing on compute capacity and AI innovation.
8,PIB,2024-03-28,The Ministry of Health launched a screening campaign for non-communicable diseases across 150 districts.
9,PIB,2023-10-17,The government approved the National Logistics Policy to improve multimodal transport infrastructure.
10,PIB,2024-05-08,The Ministry of Education introduced the National Research Fellowship for meritorious postgraduate students.
11,PIB,2024-06-01,The Ministry of Rural Development expanded e-GramSwaraj for real-time Panchayat-level monitoring.
12,PIB,2024-07-12,The Government announced updated procurement targets for wheat and paddy for the 2024-25 season.
13,PIB,2023-09-14,The Ministry of Railways launched Vande Bharat sleeper prototype development.
14,PIB,2023-12-20,The Union Cabinet approved the extension of PM Ujjwala Yojana subsidies for LPG cylinders.
15,PIB,2024-04-30,The Ministry of Skill Development introduced the National Apprenticeship Tracker for transparent reporting.
16,PIB,2024-05-26,India and Japan signed an agreement to enhance semiconductor supply chain cooperation.
17,PIB,2024-03-14,The government approved financial assistance for micro-irrigation systems under PMKSY.
18,PIB,2024-06-22,The Ministry of Power issued guidelines for states to adopt smart prepaid meters by 2026.
19,PIB,2024-01-19,The Cabinet approved the establishment of three new medical colleges in underserved districts.
20,PIB,2023-12-19,India launched the National Green Credit Program to promote sustainable practices.
21,PIB,2024-03-21,The Home Ministry approved modern equipment procurement for disaster response forces.
22,PIB,2024-06-05,The government launched a nationwide awareness drive on water conservation under Jal Shakti Abhiyan.
23,PIB,2024-07-01,The Commerce Ministry released new export targets for the electronics sector for FY 2024-25.
24,PIB,2024-05-12,The Union Cabinet approved viability gap funding for green hydrogen projects.
25,PIB,2024-06-17,The Ministry of Agriculture launched a pilot program for soil health digital cards.
26,PIB,2024-02-10,The government approved the construction of 2,50,000 rural houses under PM Awas Yojana.
27,PIB,2024-04-02,India announced revised emission standards for thermal power plants.
28,PIB,2024-03-08,The Ministry of Women and Child Development launched early childhood nutrition guidelines.
29,PIB,2024-07-07,India expanded BharatNet Phase III for last-mile rural fiber connectivity.
30,PIB,2024-05-15,The Ministry of Defence commissioned a new indigenously developed radar system.
31,PIB,2023-11-22,The Cabinet approved incentives for drone-assisted agriculture deployment.
32,PIB,2024-02-20,The Ministry of Fisheries launched a scheme for modernizing fish landing centers.
33,PIB,2024-06-10,India signed a technology transfer agreement for high-efficiency solar modules.
34,PIB,2024-01-03,The government announced increased funding for Ayushman Bharat digital health infrastructure.
35,PIB,2024-06-29,The Ministry of Education launched a teacher training program for digital pedagogy.
36,PIB,2023-10-30,India approved a national framework for cybersecurity standards in critical sectors.
37,PIB,2024-03-01,The Ministry of Agriculture issued advisories for pest-resistant seed varieties.
38,PIB,2024-05-09,The government introduced guidelines for EV battery recycling and traceability.
39,PIB,2024-04-25,India signed a climate financing cooperation agreement with the European Union.
40,PIB,2024-07-11,The Ministry of MSME announced a grant program for rural manufacturing clusters.
41,PIB,2024-02-14,The Finance Ministry notified GST exemptions for certain medical devices.
42,PIB,2024-03-06,India expanded its digital payments infrastructure through NPCI partnerships.
43,PIB,2024-06-20,The Ministry of Tourism launched a rural tourism promotion campaign.
44,PIB,2024-05-17,The government announced incentives for biofuel production from agricultural waste.
45,PIB,2023-12-28,India approved new data-sharing guidelines for public digital platforms.
46,PIB,2024-06-08,The Ministry of Road Transport approved highway upgrades along key economic corridors.
47,PIB,2024-01-28,India launched an entrepreneurship mentoring scheme for college students.
48,PIB,2024-02-22,The Ministry of Power issued updated tariff guidelines for renewable energy generators.
49,PIB,2024-03-30,The government introduced a nationwide farmer credit outreach program.
50,PIB,2024-06-25,India approved a policy supporting the adoption of AI in agriculture.
51,PIB,2024-05-22,The Ministry of Labour updated wage standards for industrial workers.
52,PIB,2024-04-18,India signed agreements to enhance digital skilling for rural youth.
53,PIB,2024-07-09,The Ministry of Railways approved 100 new Vande Bharat trains for 2025 rollout.
54,PIB,2024-03-27,The Cabinet approved funding for 1200 MW solar power generation capacity.
55,PIB,2024-05-30,India launched a satellite-based crop monitoring system for real-time yield estimation.
56,PIB,2025-11-26,The Prime Minister paid tribute to the framers of India’s Constitution on Constitution Day.
57,PIB,2025-11-26,CCRAS launched SIDDHI 2.0 to strengthen research-driven innovation in the Ayurveda pharmaceutical sector.
58,PIB,2025-11-26,The Prime Minister wrote a letter to citizens on Constitution Day highlighting the importance of democratic values.
59,PIB,2025-11-25,The Prime Minister shared glimpses of his visit to Kurukshetra.
